rowIndex,barcode,boxId,status,bucket,reason,docId,poNumber,yarnName,yarnCatalogId,beforeBoxWeight,beforeGrossWeight,beforeNumberOfCones,beforeStorageLocation,beforeStoredStatus,afterBoxWeight,afterGrossWeight,afterNumberOfCones,afterStorageLocation,afterStoredStatus,stConeCount,issuedStConeCount,message
2,6a1ac3e577702760c97f38e9,BOX-PO-2026-1200-WE65701-1780138981047-5,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,6a1ac3e577702760c97f3906,PO-2026-1200,20/70-Black-Black-Nylon/Spandex,692e7cbcabe3fbc58a86e502,0.566,0.26,2,B7-02-S0001-F01,true,,,,,,0,2,
4,6a1bfe6377702760c97fc10a,BOX-PO-2026-1200-EW40967-1780219491627-7,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,6a1bfe6377702760c97fc11f,PO-2026-1200,70/1-Light Grey-Light Grey-Nylon/Nylon,6926a7b9a5ccbd9b84f71eaf,0.20299999999999996,0.56,1,B7-02-S0001-F01,true,,,,,,0,1,
11,6a2791d59a2d47385fbc764b,BOX-PO-2026-1220-71809-1780978133921-7,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,6a2791d59a2d47385fbc7684,PO-2026-1220,70/2-Deep Grey-Deep Grey-Nylon/Nylon,,0.01200000000000001,1.02,1,B7-02-S0001-F01,true,,,,,,0,1,
12,6a27960e9a2d47385fbccebd,BOX-PO-2026-1220-EW70453-1780979214274-4,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,6a27960e9a2d47385fbccec1,PO-2026-1220,70/2-Navy-Navy-Nylon/Nylon,,0.456,0.98,1,B7-02-S0001-F01,true,,,,,,0,1,
13,6a28e08d01bb024eb60bb580,BOX-PO-2026-1218-G79157-1781063821809-14,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,6a28e08d01bb024eb60bb59d,PO-2026-1218,70/2-Raw White-Raw White-Nylon/Nylon,,0.5770000000000001,1.76,3,B7-02-S0001-F01,true,,,,,,1,2,
14,6a28e08d01bb024eb60bb582,BOX-PO-2026-1218-62514-1781063821809-15,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,6a28e08d01bb024eb60bb59e,PO-2026-1218,70/2-Navy-Navy-Nylon/Nylon,,0.4910000000000001,2.52,5,B7-02-S0001-F01,true,,,,,,1,3,
15,6a28e08d01bb024eb60bb58f,BOX-PO-2026-1218-58775-1781063821809-22,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,6a28e08d01bb024eb60bb5a5,PO-2026-1218,70/4-Maroon-Maroon-Nylon/Nylon,6926a7baa5ccbd9b84f7217d,0.21099999999999997,0.54,1,B7-02-S0001-F01,true,,,,,,0,1,
21,6a1ac3e577702760c97f38f7,BOX-PO-2026-1200-EW70944-1780138981047-12,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,6a1ac3e577702760c97f390d,PO-2026-1200,20/70-Deep Grey-Deep Grey-Nylon/Spandex,69b2b8f905698dfad7b27f2c,6.126,0,2,B7-02-S0001-F1,true,,,,,,0,2,
28,6a193efb53d0e92ec1d399e5,BOX-PO-2026-1191-EW76087/26-1780039419238-13,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,6a193efb53d0e92ec1d39a00,PO-2026-1191,20/70-Navy-Navy-Nylon/Spandex,692e7cbdabe3fbc58a86e644,13.384999999999998,27.42,19,B7-02-S0030-F01,true,,,,,,0,12,
30,6a0fe48c1ff45cbda84ad597,BOX-PO-2026-1190-CN/2033-22.05.2026-1779426444047-19,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,6a0fe48c1ff45cbda84ad5b7,PO-2026-1190,20/70-Raw White-Raw White-Nylon/Spandex,692e7cbdabe3fbc58a86e670,14.34,20.64,16,B7-02-S0031-F02,true,,,,,,0,4,
31,69944737f0a2c8b07dc3eaeb,BOX-PO-2026-961-EW53427-1771325239626-199,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69944737f0a2c8b07dc3ec07,PO-2026-961,20/70-Pastel Green-Tea-Nylon/Spandex,692e7cbdabe3fbc58a86e660,2.9239999999999977,1.54,12,B7-02-S0031-F03,true,,,,,,7,2,
33,69a3d48893145c5b28550060,BOX-PO-2026-1035-NC/1530-1772344456287-3,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69a3d48893145c5b28550065,PO-2026-1035,Soft top-Bottle Green-Bottle Green-Rubber/Soft top,6926a7b6a5ccbd9b84f7124d,1.1829999999999998,0,33,B7-02-S0032-F03,true,,,,,,32,1,
